pageid,title,birth_y,birth_m,birth_d,death_y,death_m,death_d,death_age
1079482,Bruce Cabot,1904,4,20,1972,5,3,68
1711274,Frank Cady,1915,9,8,2012,6,8,96
1394960,Adolph Caesar,1933,12,5,1986,3,6,52
202682,Sid Caesar,1922,9,8,2014,2,12,91
16046,James Cagney,1899,7,17,1986,3,30,86
6726595,Howard Caine,1926,1,2,1993,12,28,67
5339845,Pasquale Cajano,1921,8,19,2000,10,24,79
156594,Louis Calhern,1895,2,19,1956,5,12,61
1565470,Rory Calhoun,1922,8,8,1999,4,28,76
9536000,James Callahan (actor),1930,10,4,2007,8,3,76
6129989,Charlie Callas,1924,12,20,2011,1,27,86
12724667,E. H. Calvert,1863,6,27,1941,10,5,78
1526160,Ralph Camargo,1912,2,27,1992,1,15,79
25213537,Edmund Cambridge,1920,9,18,2001,8,18,80
2830223,Hamilton Camp,1934,10,30,2005,10,2,70
